Unnamed: 0,Country,Arrivals,Units,2018,2019,2020,2021,2022,Mean Total Arrivals,Recommendation
2,Albania,total arrivals,thousands,5927.0,6406.0,2658.0,5689.0,7543.8,5644.76,Go
8,Algeria,total arrivals,thousands,2657.0,2371.0,591.0,125.0,1398.0,1428.4,Go
14,American Samoa,total arrivals,thousands,51.8,58.6,0.9,,,37.1,No Go
20,Andorra,total arrivals,thousands,8328.0,8235.0,5207.0,5422.0,8426.7,7123.74,Go
26,Angola,total arrivals,thousands,218.0,218.0,64.0,64.0,130.0,138.8,No Go
32,Anguilla,total arrivals,thousands,87.0,166.0,41.1,28.7,95.8,83.72,No Go
38,Antigua And Barbuda,total arrivals,thousands,1064.0,1035.0,276.0,250.0,642.4,653.48,Go
44,Argentina,total arrivals,thousands,10394.0,11131.0,3096.0,460.0,7503.0,6516.8,Go
50,Armenia,total arrivals,thousands,1652.0,1894.0,375.0,870.0,1666.0,1291.4,Go
56,Aruba,total arrivals,thousands,1897.0,1951.0,623.0,943.0,1711.0,1425.0,Go
62,Australia,total arrivals,thousands,9246.0,9466.0,1828.0,246.0,3694.0,4896.0,Go
68,Austria,total arrivals,thousands,30816.0,31884.0,15091.0,12728.0,26215.0,23346.8,Go
74,Azerbaijan,total arrivals,thousands,2850.0,3170.0,796.0,792.0,1602.0,1842.0,Go
80,Bahamas,total arrivals,thousands,6622.0,7250.0,1794.5,2101.0,7000.7,4953.64,No Go
86,Bahrain,total arrivals,thousands,12045.0,11061.0,1909.0,3612.0,9949.0,7715.2,Go
92,Bangladesh,total arrivals,thousands,267.0,323.0,182.0,135.0,,226.75,Go
98,Barbados,total arrivals,thousands,1356.0,966.0,545.8,242.0,897.6,801.48,Go
104,Belarus,total arrivals,thousands,11502.0,11832.0,3598.0,3361.0,4920.0,7042.6,No Go
110,Belgium,total arrivals,thousands,9119.0,9343.0,2584.0,3243.0,8220.0,6501.8,Go
116,Belize,total arrivals,thousands,1697.0,1674.0,487.0,437.0,372.6,933.5200000000001,Go
122,Benin,total arrivals,thousands,322.0,337.0,354.0,,,337.6666666666667,Go
128,Bermuda,total arrivals,thousands,766.0,805.0,51.4,86.4,548.5,451.46000000000004,Go
134,Bhutan,total arrivals,thousands,274.0,316.0,29.8,0.001,20.9,128.1402,No Go
140,"Bolivia, Plurinational State Of",total arrivals,thousands,1142.0,1239.0,323.3,180.0,724.0,721.6600000000001,Go
146,Bosnia And Herzegovina,total arrivals,thousands,1053.0,1198.0,197.0,502.0,915.0,773.0,Go
152,Botswana,total arrivals,thousands,1830.0,1555.4,358.2,338.0,,1020.4,Go
158,Brazil,total arrivals,thousands,6621.0,6353.0,2146.0,746.0,3630.0,3899.2,Go
164,British Virgin Islands,total arrivals,thousands,192.0,895.0,83.0,56.0,173.0,279.8,Go
170,Brunei Darussalam,total arrivals,thousands,4521.0,4449.0,1071.0,110.0,,2537.75,Go
176,Bulgaria,total arrivals,thousands,12368.0,12552.0,4973.0,7188.0,10888.0,9593.8,Go
182,Burkina Faso,total arrivals,thousands,144.0,143.0,67.0,106.0,116.0,115.2,No Go
188,Cabo Verde,total arrivals,thousands,710.0,758.0,180.0,135.0,785.0,513.6,Go
194,Cambodia,total arrivals,thousands,6201.0,6611.0,1306.0,196.4,2276.6,3318.2,Go
200,Cameroon,total arrivals,thousands,997.0,1021.0,616.0,963.0,539.0,827.2,No Go
206,Canada,total arrivals,thousands,31274.0,32430.0,5068.0,4282.1,17924.0,18195.620000000003,Go
212,Cayman Islands,total arrivals,thousands,2384.0,2334.0,660.0,17.3,1027.7,1284.6,No Go
218,Central African Republic,total arrivals,thousands,109.0,87.0,34.6,,,76.86666666666666,No Go
224,Chad,total arrivals,thousands,77.0,79.0,11.0,40.0,,51.75,No Go
230,Chile,total arrivals,thousands,6603.0,5431.0,1310.5,192.0,2269.0,3161.1,Go
236,China,total arrivals,thousands,158606.0,162538.0,27467.0,26380.0,25250.0,80048.2,Go
242,Colombia,total arrivals,thousands,4398.0,4531.0,1387.0,2146.0,4686.0,3429.6,Go
248,Comoros,total arrivals,thousands,35.9,45.1,7.0,28.8,,29.2,No Go
254,Congo,total arrivals,thousands,158.0,,,,,158.0,No Go
260,"Congo, Democratic Republic Of The",total arrivals,thousands,392.0,479.0,202.0,382.0,,363.75,Go
266,Cook Islands,total arrivals,thousands,169.0,172.0,25.2,26.3,113.6,101.22,No Go
272,Costa Rica,total arrivals,thousands,3313.0,3378.3,1146.5,1375.8,2497.1,2342.1400000000003,Go
278,Cote D´Ivoire,total arrivals,thousands,1965.0,2070.0,668.0,576.0,2047.0,1465.2,Go
284,Croatia,total arrivals,thousands,57668.0,60021.0,21608.0,34123.0,50023.0,44688.6,Go
290,Cuba,total arrivals,thousands,4712.0,4276.0,1086.0,356.4,1614.1,2408.9,Go
296,Curaçao,total arrivals,thousands,1210.0,1293.0,436.0,418.0,1034.2,878.24,Go
302,Cyprus,total arrivals,thousands,4024.0,4117.0,632.0,1937.0,,2677.5,Go
308,Czech Republic (Czechia),total arrivals,thousands,36268.0,37202.0,10267.0,10014.0,,23437.75,Go
314,Denmark,total arrivals,thousands,30801.0,32065.0,16031.0,18372.0,31530.0,25759.8,Go
320,Djibouti,total arrivals,thousands,142.0,167.0,75.0,114.0,145.0,128.6,No Go
326,Dominica,total arrivals,thousands,199.0,322.0,140.0,66.0,235.0,192.4,Go
332,Dominican Republic,total arrivals,thousands,7551.0,7550.0,2748.0,5327.0,8488.8,6332.96,No Go
338,Ecuador,total arrivals,thousands,2535.0,2108.0,507.0,669.0,1265.0,1416.8,Go
344,Egypt,total arrivals,thousands,11346.0,13026.0,3677.0,7998.0,11724.0,9554.2,Go
350,El Salvador,total arrivals,thousands,2536.0,2639.0,707.0,1436.0,2541.0,1971.8,Go
356,Estonia,total arrivals,thousands,6033.0,6103.0,1695.0,1310.0,3497.0,3727.6,Go
362,Eswatini,total arrivals,thousands,1277.0,1226.0,345.3,210.7,502.5,712.3,Go
368,Ethiopia,total arrivals,thousands,849.0,812.0,271.0,518.0,897.0,669.4,Go
374,Fiji,total arrivals,thousands,1058.0,969.0,168.0,32.0,652.0,575.8,Go
380,Finland,total arrivals,thousands,3224.0,3290.0,896.0,807.0,2127.0,2068.8,Go
386,France,total arrivals,thousands,211998.0,217877.0,117109.0,141297.0,,172070.25,Go
392,French Polynesia,total arrivals,thousands,260.0,282.0,89.0,95.0,261.4,197.48,Go
398,Gambia,total arrivals,thousands,552.0,620.0,246.0,332.0,570.0,464.0,Go
404,Georgia,total arrivals,thousands,7203.0,7726.0,1513.0,1721.0,4704.0,4573.4,Go
410,Germany,total arrivals,thousands,38881.0,39563.0,12449.0,11688.0,28463.0,26208.8,Go
416,Ghana,total arrivals,thousands,956.0,1130.0,355.0,624.0,915.0,796.0,Go
422,Greece,total arrivals,thousands,33072.0,34005.0,7406.0,15246.0,29876.0,23921.0,No Go
428,Grenada,total arrivals,thousands,529.0,526.0,217.0,72.0,335.0,335.8,Go
434,Guadeloupe,total arrivals,thousands,1166.0,,,,,1166.0,Go
440,Guam,total arrivals,thousands,1549.0,1667.0,328.0,79.0,328.0,790.2,Go
446,Guatemala,total arrivals,thousands,2406.0,2560.0,594.0,666.0,1844.7,1614.1399999999999,Go
452,Guinea-Bissau,total arrivals,thousands,55.0,52.4,,,,53.7,No Go
458,Guyana,total arrivals,thousands,287.0,315.0,86.5,158.3,288.0,226.95999999999998,Go
464,Haiti,total arrivals,thousands,1333.0,938.0,322.0,148.0,,685.25,No Go
470,Honduras,total arrivals,thousands,2323.0,2315.0,669.0,826.0,1911.0,1608.8,No Go
476,"Hong Kong, China",total arrivals,thousands,65148.0,55913.0,3569.0,91.4,604.6,25065.2,Go
482,Hungary,total arrivals,thousands,57667.0,61397.0,31641.0,36688.0,46343.0,46747.2,Go
